Country,Variable,Value
Afghanistan,2015,11.13
Angola,2015,7.39
Albania,2015,17.19
United Arab Emirates,2015,1.77
Argentina,2015,7.52
Armenia,2015,18.26
Australia,2015,6.05
Austria,2015,5.72
Azerbaijan,2015,4.96
Burundi,2015,1.6
Belgium,2015,8.48
Benin,2015,2.01
Burkina Faso,2015,4.32
Bangladesh,2015,4.37
Bulgaria,2015,9.14
Bahrain,2015,1.2
Bahamas,2015,12
Bosnia and Herzegovina,2015,27.69
Belarus,2015,5.84
Belize,2015,7.58
Bolivia,2015,3.11
Brazil,2015,8.43
Barbados,2015,9.8
Brunei Darussalam,2015,7.78
Bhutan,2015,2.45
Botswana,2015,20.57
Central African Republic,2015,5.61
Canada,2015,6.91
Switzerland,2015,4.8
Channel Islands,2015,8.22
Chile,2015,6.51
China,2015,4.63
Cote d'Ivoire,2015,3.15
Cameroon,2015,3.55
"Congo, Dem. Rep.",2015,4.47
"Congo, Rep.",2015,20.45
Colombia,2015,8.3
Comoros,2015,8.14
Cabo Verde,2015,11.8
Costa Rica,2015,9
Cuba,2015,2.4
Cyprus,2015,14.91
Czech Republic,2015,5.05
Germany,2015,4.62
Djibouti,2015,26.33
Denmark,2015,6.28
Dominican Republic,2015,7.61
Algeria,2015,11.21
Ecuador,2015,3.62
"Egypt, Arab Rep.",2015,13.05
Eritrea,2015,5.83
Spain,2015,22.06
Estonia,2015,6.19
Ethiopia,2015,2.27
Finland,2015,9.38
Fiji,2015,4.3
France,2015,10.35
Gabon,2015,20.61
United Kingdom,2015,5.3
Georgia,2015,16.51
Ghana,2015,6.81
Guinea,2015,4.92
Gambia,2015,9.47
Guinea-Bissau,2015,5.87
Equatorial Guinea,2015,8.54
Greece,2015,24.9
Guatemala,2015,2.51
Guam,2015,6.9
Guyana,2015,13.21
"Hong Kong SAR, China",2015,3.31
Honduras,2015,6.15
Croatia,2015,16.18
Haiti,2015,13.96
Hungary,2015,6.81
Indonesia,2015,4.51
India,2015,5.43
Ireland,2015,9.91
"Iran, Islamic Rep.",2015,11.17
Iraq,2015,10.73
Iceland,2015,3.98
Israel,2015,5.25
Italy,2015,11.9
Jamaica,2015,13.51
Jordan,2015,13.08
Japan,2015,3.4
Kazakhstan,2015,4.93
Kenya,2015,2.78
Kyrgyz Republic,2015,7.56
Cambodia,2015,0.39
"Korea, Rep.",2015,3.55
Kuwait,2015,2.2
Lebanon,2015,9.32
Liberia,2015,2.08
Libya,2015,19.53
St. Lucia,2015,20.56
Sri Lanka,2015,4.52
Lesotho,2015,23.84
Lithuania,2015,9.12
Luxembourg,2015,6.67
Latvia,2015,9.87
"Macao SAR, China",2015,1.81
Morocco,2015,9.46
Moldova,2015,4.7
Madagascar,2015,1.79
Maldives,2015,6.93
Mexico,2015,4.31
North Macedonia,2015,26.07
Mali,2015,7.73
Malta,2015,5.38
Myanmar,2015,0.77
Montenegro,2015,17.54
Mongolia,2015,4.86
Mozambique,2015,3.43
Mauritania,2015,10.14
Mauritius,2015,7.41
Malawi,2015,5.86
Malaysia,2015,3.1
North America,2015,5.46
Namibia,2015,20.91
New Caledonia,2015,14.73
Niger,2015,0.53
Nigeria,2015,4.31
Nicaragua,2015,4.7
Netherlands,2015,6.87
Norway,2015,4.3
Nepal,2015,3.1
New Zealand,2015,5.41
Oman,2015,3.39
Pakistan,2015,3.57
Panama,2015,2.98
Peru,2015,3.27
Philippines,2015,3.07
Papua New Guinea,2015,2.48
Poland,2015,7.5
Puerto Rico,2015,12
"Korea, Dem. People's Rep.",2015,2.74
Portugal,2015,12.44
Paraguay,2015,4.56
West Bank and Gaza,2015,23
French Polynesia,2015,12.17
Qatar,2015,0.17
Romania,2015,6.81
Russian Federation,2015,5.57
Rwanda,2015,1.15
South Asia,2015,5.14
Saudi Arabia,2015,5.59
Sudan,2015,17.49
Senegal,2015,6.76
Singapore,2015,3.79
Solomon Islands,2015,0.73
Sierra Leone,2015,4.74
El Salvador,2015,4
Somalia,2015,18.9
Serbia,2015,17.66
South Sudan,2015,12.27
Sao Tome and Principe,2015,13.82
Suriname,2015,7.22
Slovak Republic,2015,11.48
Slovenia,2015,8.96
Sweden,2015,7.43
Eswatini,2015,23.33
Syrian Arab Republic,2015,8.71
Chad,2015,1.07
Togo,2015,2.2
Thailand,2015,0.6
Tajikistan,2015,7.55
Turkmenistan,2015,4.14
Timor-Leste,2015,4.45
Tonga,2015,2.55
Trinidad and Tobago,2015,2.43
Tunisia,2015,15.16
Turkiye,2015,10.24
