country,variable,value
Afghanistan,2015,34413603
Albania,2015,2880703
Algeria,2015,39728020
American Samoa,2015,55806
Andorra,2015,77993
Angola,2015,27884380
Antigua and Barbuda,2015,93571
Argentina,2015,43131966
Armenia,2015,2925559
Aruba,2015,104339
Australia,2015,23815995
Austria,2015,8642699
Azerbaijan,2015,9649341
Bahamas,2015,374200
Bahrain,2015,1371853
Bangladesh,2015,156256287
Barbados,2015,285327
Belarus,2015,9461076
Belgium,2015,11274196
Belize,2015,360926
Benin,2015,10575962
Bermuda,2015,65237
Bhutan,2015,727885
Bolivia,2015,10869732
Bosnia and Herzegovina,2015,3429362
Botswana,2015,2120716
Brazil,2015,204471759
British Virgin Islands,2015,29148
Brunei Darussalam,2015,414914
Bulgaria,2015,7177991
Burkina Faso,2015,18110616
Burundi,2015,10160034
Cabo Verde,2015,524740
Cambodia,2015,15521435
Cameroon,2015,23298376
Canada,2015,35702908
Cayman Islands,2015,61721
Central African Republic,2015,4493171
Chad,2015,14110971
Channel Islands,2015,165387
Chile,2015,17969356
China,2015,1379860000
Colombia,2015,47520667
Comoros,2015,777435
"Congo, Dem. Rep.",2015,76244532
"Congo, Rep.",2015,4856093
Costa Rica,2015,4847805
Cote d'Ivoire,2015,23226148
Croatia,2015,4203604
Cuba,2015,11324777
Curacao,2015,157980
Cyprus,2015,1160987
Czech Republic,2015,10546059
Denmark,2015,5683483
Djibouti,2015,913998
Dominica,2015,71175
Dominican Republic,2015,10281675
Ecuador,2015,16212022
"Egypt, Arab Rep.",2015,92442549
El Salvador,2015,6325121
Equatorial Guinea,2015,1168575
Estonia,2015,1315407
Eswatini,2015,1104038
Ethiopia,2015,100835453
Faroe Islands,2015,48055
Fiji,2015,868632
Finland,2015,5479531
France,2015,66548272
French Polynesia,2015,273119
Gabon,2015,1947690
Gambia,2015,2085860
Georgia,2015,3725276
Germany,2015,81686611
Ghana,2015,27849203
Gibraltar,2015,33742
Greece,2015,10820883
Greenland,2015,56114
Grenada,2015,109603
Guam,2015,161851
Guatemala,2015,15567419
Guinea,2015,11432096
Guinea-Bissau,2015,1737207
Guyana,2015,767433
Haiti,2015,10695540
Honduras,2015,9112904
"Hong Kong SAR, China",2015,7291300
Hungary,2015,9843028
Iceland,2015,330815
India,2015,1310152392
Indonesia,2015,258383257
"Iran, Islamic Rep.",2015,78492208
Iraq,2015,35572269
