Rank,name,pop2022,pop2021,GrowthRate,area,Density,,,,,,,,,,,,
1,China,1425887.337,1425893.465,0,9706961,147,,,,,,,,,,,,
2,India,1417173.173,1407563.842,0.68,3287590,431,,,,,,,,,,,,
3,United States,338289.857,336997.624,0.38,9372610,36,,,,,,,,,,,,
4,Indonesia,275501.339,273753.191,0.64,1904569,145,,,,,,,,,,,,
5,Pakistan,235824.862,231402.117,1.91,881912,267,,,,,,,,,,,,
6,Nigeria,218541.212,213401.323,2.41,923768,237,,,,,,,,,,,,
7,Brazil,215313.498,214326.223,0.46,8515767,25,,,,,,,,,,,,
8,Bangladesh,171186.372,169356.251,1.08,147570,1160,,,,,,,,,,,,
9,Russia,144713.314,145102.755,-0.27,17098242,8,,,,,,,,,,,,
10,Mexico,127504.125,126705.138,0.63,1964375,65,,,,,,,,,,,,
11,Japan,123951.692,124612.53,-0.53,377930,328,,,,,,,,,,,,
12,Ethiopia,123379.924,120283.026,2.57,1104300,112,,,,,,,,,,,,
13,Philippines,115559.009,113880.328,1.47,342353,338,,,,,,,,,,,,
14,Egypt,110990.103,109262.178,1.58,1002450,111,,,,,,,,,,,,
15,DR Congo,99010.212,95894.118,3.25,2344858,42,,,,,,,,,,,,
16,Vietnam,98186.856,97468.029,0.74,331212,296,,,,,,,,,,,,
17,Iran,88550.57,87923.432,0.71,1648195,54,,,,,,,,,,,,
18,Turkey,85341.241,84775.404,0.67,783562,109,,,,,,,,,,,,
19,Germany,83369.843,83408.554,-0.05,357114,233,,,,,,,,,,,,
20,Thailand,71697.03,71601.103,0.13,513120,140,,,,,,,,,,,,
21,United Kingdom,67508.936,67281.039,0.34,242900,278,,,,,,,,,,,,
22,Tanzania,65497.748,63588.334,3.00,945087,69,,,,,,,,,,,,
23,France,64626.628,64531.444,0.15,551695,117,,,,,,,,,,,,
24,South Africa,59893.885,59392.255,0.84,1221037,49,,,,,,,,,,,,
25,Italy,59037.474,59240.329,-0.34,301336,196,,,,,,,,,,,,
26,England,57367.811,,0.72,130279,440,,,,,,,,,,,,
27,Myanmar,54179.306,53798.084,0.71,676578,80,,,,,,,,,,,,
28,Kenya,54027.487,53005.614,1.93,580367,93,,,,,,,,,,,,
29,Colombia,51874.024,51516.562,0.69,1141748,45,,,,,,,,,,,,
30,South Korea,51815.81,51830.139,-0.03,100210,517,,,,,,,,,,,,
31,Spain,47558.63,47486.935,0.15,505992,94,,,,,,,,,,,,
32,Uganda,47249.585,45853.778,3.04,241550,196,,,,,,,,,,,,
