"Rank","name","pop2022","pop2021","GrowthRate","area","Density"
"1","China","1425887.3370","1425893.4650","1.0000","9706961","146.8933"
"2","India","1417173.1730","1407563.8420","1.0068","3287590","431.0675"
"3","United States","338289.8570","336997.6240","1.0038","9372610","36.0935"
"4","Indonesia","275501.3390","273753.1910","1.0064","1904569","144.6529"
"5","Pakistan","235824.8620","231402.1170","1.0191","881912","267.4018"
"6","Nigeria","218541.2120","213401.3230","1.0241","923768","236.5759"
"7","Brazil","215313.4980","214326.2230","1.0046","8515767","25.2841"
"8","Bangladesh","171186.3720","169356.2510","1.0108","147570","1160.0350"
"9","Russia","144713.3140","145102.7550","0.9973","17098242","8.4636"
"10","Mexico","127504.1250","126705.1380","1.0063","1964375","64.9082"
"11","Japan","123951.6920","124612.5300","0.9947","377930","327.9753"
"12","Ethiopia","123379.9240","120283.0260","1.0257","1104300","111.7268"
"13","Philippines","115559.0090","113880.3280","1.0147","342353","337.5434"
"14","Egypt","110990.1030","109262.1780","1.0158","1002450","110.7188"
"15","DR Congo","99010.2120","95894.1180","1.0325","2344858","42.2244"
"16","Vietnam","98186.8560","97468.0290","1.0074","331212","296.4472"
"17","Iran","88550.5700","87923.4320","1.0071","1648195","53.7258"
"18","Turkey","85341.2410","84775.4040","1.0067","783562","108.9145"
"19","Germany","83369.8430","83408.5540","0.9995","357114","233.4544"
"20","Thailand","71697.0300","71601.1030","1.0013","513120","139.7276"
"21","United Kingdom","67508.9360","67281.0390","1.0034","242900","277.9289"
"22","Tanzania","65497.7480","63588.3340","1.0300","945087","69.3034"
"23","France","64626.6280","64531.4440","1.0015","551695","117.1419"
"24","South Africa","59893.8850","59392.2550","1.0084","1221037","49.0517"
"25","Italy","59037.4740","59240.3290","0.9966","301336","195.9191"
"26","England","57367.8110","","1.0072","130279","440.3458"
"27","Myanmar","54179.3060","53798.0840","1.0071","676578","80.0784"
"28","Kenya","54027.4870","53005.6140","1.0193","580367","93.0919"
"29","Colombia","51874.0240","51516.5620","1.0069","1141748","45.4339"
"30","South Korea","51815.8100","51830.1390","0.9997","100210","517.0722"
"31","Spain","47558.6300","47486.9350","1.0015","505992","93.9909"
"32","Uganda","47249.5850","45853.7780","1.0304","241550","195.6100"
"33","Sudan","46874.2040","45657.2020","1.0267","1886068","24.8529"
"34","Argentina","45510.3180","45276.7800","1.0052","2780400","16.3683"
"35","Algeria","44903.2250","44177.9690","1.0164","2381741","18.8531"
"36","Iraq","44496.1220","43533.5920","1.0221","438317","101.5158"
"37","Afghanistan","41128.7710","40099.4620","1.0257","652230","63.0587"
"38","Poland","39857.1450","38307.7260","1.0404","312679","127.4698"
"39","Ukraine","39701.7390","43531.4220","0.9120","603500","65.7858"
"40","Canada","38454.3270","38155.0120","1.0078","9984670","3.8513"
"41","Morocco","37457.9710","37076.5840","1.0103","446550","83.8830"
"42","Saudi Arabia","36408.8200","35950.3960","1.0128","2149690","16.9368"
"43","Angola","35588.9870","34503.7740","1.0315","1246700","28.5466"
"44","Uzbekistan","34627.6520","34081.4490","1.0160","447400","77.3975"
"45","Peru","34049.5880","33715.4710","1.0099","1285216","26.4933"
"46","Malaysia","33938.2210","33573.8740","1.0109","330803","102.5934"
"47","Yemen","33696.6140","32981.6410","1.0217","527968","63.8232"
"48","Ghana","33475.8700","32833.0310","1.0196","238533","140.3406"
"49","Mozambique","32969.5180","32077.0720","1.0278","801590","41.1302"
"50","Nepal","30547.5800","30034.9890","1.0171","147181","207.5511"
"51","Madagascar","29611.7140","28915.6530","1.0241","587041","50.4423"
"52","Venezuela","28301.6960","28199.8670","1.0036","916445","30.8820"
"53","Ivory Coast","28160.5420","27478.2490","1.0248","322463","87.3295"
"54","Cameroon","27914.5360","27198.6280","1.0263","475442","58.7128"
"55","Niger","26207.9770","25252.7220","1.0378","1267000","20.6851"
"56","Australia","26177.4130","25921.0890","1.0099","7692024","3.4032"
"57","North Korea","26069.4160","25971.9090","1.0038","120538","216.2755"
"58","Taiwan","23893.3940","23859.9120","1.0014","36193","660.1662"
"59","Burkina Faso","22673.7620","22100.6830","1.0259","272967","83.0641"
"60","Mali","22593.5900","21904.9830","1.0314","1240192","18.2178"
"61","Syria","22125.2490","21324.3670","1.0376","185180","119.4797"
"62","Sri Lanka","21832.1430","21773.4410","1.0027","65610","332.7563"
"63","Malawi","20405.3170","19889.7420","1.0259","118484","172.2200"
"64","Zambia","20017.6750","19473.1250","1.0280","752612","26.5976"
"65","Romania","19659.2670","19328.5600","1.0171","238391","82.4665"
"66","Chile","19603.7330","19493.1840","1.0057","756102","25.9274"
"67","Kazakhstan","19397.9980","19196.4650","1.0105","2724900","7.1188"
"68","Ecuador","18001","17797.7370","1.0114","276841","65.0229"
"69","Guatemala","17843.9080","17608.4830","1.0134","108889","163.8725"
"70","Chad","17723.3150","17179.7400","1.0316","1284000","13.8032"
"71","Somalia","17597.5110","17065.5810","1.0312","637657","27.5971"
"72","Netherlands","17564.0140","17501.6960","1.0036","41850","419.6897"
"73","Senegal","17316.4490","16876.7200","1.0261","196722","88.0250"
"74","Cambodia","16767.8420","16589.0230","1.0108","181035","92.6221"
"75","Zimbabwe","16320.5370","15993.5240","1.0204","390757","41.7665"
"76","Guinea","13859.3410","13531.9060","1.0242","245857","56.3716"
"77","Rwanda","13776.6980","13461.8880","1.0234","26338","523.0731"
"78","Benin","13352.8640","12996.8950","1.0274","112622","118.5635"
"79","Burundi","12889.5760","12551.2130","1.0270","27834","463.0874"
"80","Tunisia","12356.1170","12262.9460","1.0076","163610","75.5218"
"81","Bolivia","12224.1100","12079.4720","1.0120","1098581","11.1272"
"82","Belgium","11655.9300","11611.4190","1.0038","30528","381.8111"
"83","Haiti","11584.9960","11447.5690","1.0120","27750","417.4773"
"84","Jordan","11285.8690","11148.2780","1.0123","89342","126.3221"
"85","Dominican Republic","11228.8210","11117.8730","1.0100","48671","230.7087"
"86","Cuba","11212.1910","11256.3720","0.9961","109884","102.0366"
"87","South Sudan","10913.1640","10748.2720","1.0153","619745","17.6091"
"88","Sweden","10549.3470","10467.0970","1.0079","450295","23.4276"
"89","Czech Republic","10493.9860","10510.7510","0.9984","78865","133.0627"
"90","Honduras","10432.8600","10278.3450","1.0150","112492","92.7431"
